source,target
ಏಕಮೇವ ರತ್ನಾಕರ ಮಂದಿರ | ಆಕೂತಿಜ ಯಜ್ಞಾ ಕರನೆ |,ರತ್ನಾಕರ -> ಸಮುದ್ರ; ಮಂದಿರ -> ಮನೆ ಆವಾಸಸ್ಥಾನ; ಯಜ್ಞಾ -> ಯಾಗ
ಮಾಡುವನು ವ್ಯಾಹಾರ ಬಹುವಿಧ |,ಮಾಡುವನು -> ಕೆಲಸಗೈ ಸೃಷ್ಟಿಸು ಉಂಟಾಗಿಸು; ವ್ಯಾಹಾರ -> ಶಬ್ದ ಉಚ್ಚಾರಣೆ
"ಏನು ವ್ಯಾಪಾರಗಳು ಮಾಡಬೇಕೋ ಆ ಸಮಸ್ತ ವ್ಯಾಪಾರಗಳ, ಮಾಡುವನು- ಬಿಂಬ",ವ್ಯಾಪಾರಗಳು -> ಚಟುವಟಿಕೆ ಕಾರ್ಯ; ವ್ಯಾಪಾರಗಳ -> ಚಟುವಟಿಕೆ ಕಾರ್ಯ; ಮಾಡುವನು -> ಕೆಲಸಗೈ ಸೃಷ್ಟಿಸು ಉಂಟಾಗಿಸು; ಬಿಂಬ -> ಮಂಡಲ ಗುಂಡಗಿರುವ ತೊಂಡೆಯ ಹಣ್ಣು
ಗುಣ ಗುಣ ಗುಣ,ಗುಣ -> ಸ್ವಭಾವ ನಡವಳಿಕೆ ಸಿದ್ಧಿಗಳು ಕಾವ್ಯಗುಣ ಸದ್ಗುಣ ಬಿಲ್ಲಿನ ಹಗ್ಗ
"ವಣಂಗಿ (ಭಕ್ತಿಪೂರ್ವಕವಾದ ನಮ್ರತೆ) ಇರೋಣ, ಪುರಾಣ-ವೇದವ್ಯಾಸದೇವರಿಂದ",ಭಕ್ತಿಪೂರ್ವಕವಾದ -> ಭಕ್ತಿಯಿಂದ ಕೂಡಿದ; ನಮ್ರತೆ -> ನಮಸ್ಕರಿಸುವುದು; ಪುರಾಣ -> ಹಳೆಯ
"ಪಂಚಕ, ಚಾಂದ್ರಾಯಣಾದಿ ವ್ರತಗಳ ಮಾಡೋಣನೇನು (ಪರಮಾತ್ಮನ ಸತ್ಯ",ಪಂಚಕ -> ಐದರ ಗುಂಪು; ಚಾಂದ್ರಾಯಣಾದಿ -> ಚಂದ್ರನ ಚಲನೆ ವೃದ್ಧಿ ಕ್ಷಯಗಳು; ವ್ರತಗಳ -> ಆಚರಣೆ; ಪರಮಾತ್ಮನ -> ಶ್ರೇಷ್ಠ ಚೈತನ್ಯ ದೇವರು ಜಿನ ಕೇವಲಜ್ಞಾನಿ
ಲಾಸ ಮೈಥುನ ಗಮನ ಹರ್ಷ |,ಮೈಥುನ -> ಸಂಭೋಗ; ಹರ್ಷ -> ಆನಂದ
ಫಲಗಳ ದ್ವಯ ಕೊಡುವ ದೈತ್ಯರ,ದ್ವಯ -> ಜೊತೆ ಯುಗಳ; ಕೊಡುವ -> ಸಮರ್ಪಿಸು; ದೈತ್ಯರ -> ರಾಕ್ಷಸ
ಮೋದ ಶಿರ ದಕ್ಷಿಣಪಕ್ಷ ಪ್ರ,ಮೋದ -> ಐವತ್ತಮೂರು ಗರ್ಭಾನ್ವಯಕ್ರಿಯೆಗಳಲ್ಲಿ ಒಂದು; ದಕ್ಷಿಣಪಕ್ಷ -> ಬಲಪಕ್ಕ
ದ್ರೋಹಿಸುವ ಕಲ್ಯಾದಿ ದೈತ್ಯ ಸ |,ದ್ರೋಹಿಸುವ -> ವಂಚಕ; ದೈತ್ಯ -> ರಾಕ್ಷಸ
ಹುತಿಯ ಸುಖ ಮೃತಿ ದುಃಖನರ ಯೋ |,ಮೃತಿ -> ಸಾವು; ದುಃಖನರ -> ವ್ಯಥೆ
"ಇದ್ದು, ""ತ್ಯ ರ ದ್ವಾರಾ ಮಾಡಿಸತಾರೆ. ಬ ಬ ದೇವ ದೈತ್ಯ ರ ದ್ವಾರಾ ಜೀವ",ದ್ವಾರಾ -> ಬಾಗಿಲು; ದೇವ -> ದೇವತೆ ಲೋಕಾತೀತ ದೇವತೆ; ದೈತ್ಯ -> ರಾಕ್ಷಸ; ಜೀವ -> ಜೀವವಿರುವುದು ಜಂತು
ದೊದಗಿ ಒಯ್ದರು ಪುಣ್ಯ ದೈತ್ಯರು,ಪುಣ್ಯ -> ಸುಂದರವಾದ ಪವಿತ್ರವಾದ; ದೈತ್ಯರು -> ರಾಕ್ಷಸ
"ದೇವರೇ ಮೊದಲಾದ ದೇಹಗತ ತತ್ತ ದೇವತೆಗಳು, ಸರ್ವಸ್ವ ತಂತ್ರ-_ಚರಾಚರ ಸಾ",ದೇವರೇ -> ಮೈದುನ; ದೇವತೆಗಳು -> ಅತಿಮಾನುಷ ಜೀವಿ; ಸರ್ವಸ್ವ -> ಸಮಸ್ತ ವಸ್ತು ಎಲ್ಲ ಸಂಪತ್ತು ಅತ್ಯಂತ ಮಹತ್ತರವಾದ; ತಂತ್ರ -> ಸೈನ್ಯ ಉಪಾಯ ಆಗಮಶಾಸ್ತ್ರ
ಕುಬೇರ ಎಂತ ನಾಮಾಂಕಿತನಾದ ಸರಮಾತ್ಮ | ದೈತ್ಯ ರಿಗೆ ಕೊಟ್ಟು-ದೇಹಗತರಾದ,ಕುಬೇರ -> ಅಷ್ಟದಿಕ್ಪಾಲಕರಲ್ಲಿ ಒಬ್ಬ ಉತ್ತರ ದಿಕ್ಕಿನ ಅಧಿಪತಿ ಧನಪತಿ; ನಾಮಾಂಕಿತನಾದ -> ಹೆಸರಿನ ಗುರುತುಳ್ಳುದು; ದೈತ್ಯ -> ರಾಕ್ಷಸ; ಕೊಟ್ಟು -> ನವಿಲು ಕೋಳಿಗಳ ತಲೆಯ ಮೇಲಿನ ತುರಾಯಿ ಚೂಚುಕ
ನಿರ್ಮವು ನಿರಾಮಯ ನಿರಾಶ್ರಯ |,ನಿರಾಮಯ -> ರೋಗ ಚಿಂತೆಗಳಿಲ್ಲದ ಮೋಕ್ಷ; ನಿರಾಶ್ರಯ -> ಆಶ್ರಯವಿಲ್ಲದ
ಬುದ್ಧಿ ಸೂರ್ವಕ ಭಜಿಸದವಗೆ ನಿ!,ಬುದ್ಧಿ -> ಅರಿವು ಏಳು ಬಗೆಯ ಋದ್ಧಿಗಳಲ್ಲಿ ಒಂದು; ಸೂರ್ವಕ -> ಮನೆಯ ಛಾವಣಿ
"ಪರಿಪಾಲನ ಮಾಡತಕ್ಕ ರಾಜ್ಯ ದೋಷಿ ಅಲ್ಲ. ತದ್ವತ್‌, ಚ ಬರಾ ಪರಮಾತ್ಮ",ಪರಿಪಾಲನ -> ಕಾಪಾಡುವುದು ಕೊಟ್ಟ ಮಾತನ್ನು ನೆರವೇರಿಸುವುದು; ರಾಜ್ಯ -> ಒಂದು ಆಡಳಿತಕ್ಕೆ ಒಳಪಟ್ಟ ಭೂಪ್ರದೇಶ ರಾಜನ ಸಪ್ತಾಂಗಗಳಲ್ಲಿ ಒಂದು; ದೋಷಿ -> ತಪ್ಪುಮಾಡಿದವನು; ಪರಮಾತ್ಮ -> ಶ್ರೇಷ್ಠ ಚೈತನ್ಯ ದೇವರು ಜಿನ ಕೇವಲಜ್ಞಾನಿ
ಕಾಲ ದ್ರವ್ಯ ಸುಕರ್ಮ ಶುದ್ಧಿಯ |,ದ್ರವ್ಯ -> ವಸ್ತು ಐದು ಬಗೆಯ ಸಂಸಾರಗಳಲ್ಲಿ ಒಂದು ಷಡ್ದçವ್ಯಗಳಲ್ಲಿ ಒಂದು ನೋಡಿ ಸಂಸಾರ ಮತ್ತು ಷಡ್ದçವ್ಯ; ಸುಕರ್ಮ -> ಮನೋಹರವಾದ ಒಳ್ಳೆಯ ಕೈ
"ಸೌರ ಸೂರ್ಯ, ಈ ಸೂರ್ಯನೇ ಸರ್ವೋತ್ತಮ ಎಂತಲೂ, ಶ್ಛಿವ-ರುದ್ರ, ಪ್ರ",ಸೌರ -> ಸೂರ್ಯನಿಗೆ ಸಂಬಂಧಿಸಿದ; ಸೂರ್ಯ -> ಮನೆಯ ಛಾವಣಿ; ಸೂರ್ಯನೇ -> ಮನೆಯ ಛಾವಣಿ; ಸರ್ವೋತ್ತಮ -> ಅತ್ಯುತ್ತಮ
"ಅಂಧಂತಮ ದುಃಖ ಪ್ರಾಪ್ತಿ. ಆದ್ದರಿಂದ ಅನ್ಯ ಸೂರ್ಯ, ಶಿವಾದಿಗಳ ಸರ್ವೋತ್ತಮ",ದುಃಖ -> ವ್ಯಥೆ; ಪ್ರಾಪ್ತಿ -> ಲಾಭ ಅಷ್ಟಸಿದ್ಧಿಗಳಲ್ಲಿ ಒಂದು ಏನನ್ನು ಬೇಕಾದರೂ ಹೊಂದುವ ಶಕ್ತಿ; ಸೂರ್ಯ -> ಮನೆಯ ಛಾವಣಿ; ಸರ್ವೋತ್ತಮ -> ಅತ್ಯುತ್ತಮ
"ಇವುಗಳ ತ್ಯಾಗವೇ, ನಿಧಿ; ಬಾಹ್ಯ ವಿಧಿ ನಿಷೇಧಗಳು ಇವಗೆ ಇಲ್ಲ. ಆದ್ದರಿಂದ,",ತ್ಯಾಗವೇ -> ಬಿಡುವುದು; ನಿಧಿ -> ಐಶ್ವರ್ಯ ಹೂತಿಟ್ಟ ಹಣ ಚಕ್ರವರ್ತಿಗೆ ದೊರೆಯುವ ಒಂಬತ್ತು ನಿಧಿಗಳು ನೋಡಿ ನವನಿಧಿ; ಬಾಹ್ಯ -> ಹೊರಗಿನ; ವಿಧಿ -> ಆಜ್ಞೆ ಶಾಸ್ತ್ರಕರ್ಮ ಕ್ರಮ ಅದೃಷ್ಟ; ನಿಷೇಧಗಳು -> ಇಲ್ಲವೆನ್ನುವುದು
ಶ್ರುತಿ ಪುರಾಣ ಸಮೂಹದೊಳು ಭಾ |,ಶ್ರುತಿ -> ಕಿವಿ ವಾರ್ತೆ; ಪುರಾಣ -> ಹಳೆಯ
"ಶ್ರುತಿ ಪುರಾಣಸಮೂಹದೊಳು. ವೇದ, ಶ್ರುತಿಗಳ[",ಶ್ರುತಿ -> ಕಿವಿ ವಾರ್ತೆ; ವೇದ -> ಜ್ಞಾನ ನಾಲ್ಕು ವೇದಗಳು ದ್ವಾದಶಾಂಗಗಳುಳ್ಲ ಶಾಸ್ತ್ರ; ಶ್ರುತಿಗಳ -> ಕಿವಿ ವಾರ್ತೆ
ಖಗಪ ಫಣಿಪತಿ ಮೃಡರು ಸಮ ವಾ!,ಖಗಪ -> ವಿದ್ಯಾಧರ ರಾಜ; ಫಣಿಪತಿ -> ಆದಿಶೇಷ
"ದೇವರು, ಮಿಗಿಲೆನಿಸುವನು- ಅಧಿಕರೆನಿಸುವರು. ಶೇಷ, ಗರುಡರು ಸಮಾನರು. ವಾಣಿಗೆ",ದೇವರು -> ಮೈದುನ; ಶೇಷ -> ಉಳಿದುದು ಆದಿಶೇಷ; ಗರುಡರು -> ಒಂದು ಪಕ್ಷಿ ವಿಷ್ಣವಿನ ವಾಹನ; ಸಮಾನರು -> ವಿಸ್ತೀರ್ಣ ಸಮಭಾವ; ವಾಣಿಗೆ -> ನುಡಿ ಸರಸ್ವತಿ
ವನಧಿ ನೀಚ ಪದಾರ್ಥ ನಾರದ |,ವನಧಿ -> ಸಮುದ್ರ; ನೀಚ -> ಕುಳ್ಳಾದ ಕ್ಷುಲ್ಲಕ ವ್ಯಕ್ತಿ; ಪದಾರ್ಥ -> ವಸ್ತು ಪದ ಅರ್ಥ ತತ್ವಗಳು; ನಾರದ -> ಒಬ್ಬ ದೇವರ್ಷಿ
ದನುಷಯಂತಿ ವಿರೋಚನನ ನಿಜ |,ವಿರೋಚನನ -> ಅಗ್ನಿ; ನಿಜ -> ತನ್ನ ಸ್ವಂತ
ವ್ರತ ಮರುತ ಪ್ರಹ್ಲಾದ ಸುಪರಿ |,ವ್ರತ -> ಆಚರಣೆ; ಮರುತ -> ದೇವತೆ ಗಾಳಿ; ಪ್ರಹ್ಲಾದ -> ಅತೀವ ಸಂತೋಷ
ಹರಿ ಸಿರಿ ನಿರಿಂಚೇರ ಭಾರತಿ |,ಹರಿ -> ಓಡು ಪ್ರವಹಿಸು ಕುದುರೆ ಸಿಂಹ ಕೃಷ್ಣ; ಸಿರಿ -> (ಶ್ರೀ) ಸಂಪತ್ತು ಲಕ್ಷ್ಮಿ ಚೆಲುವು; ಭಾರತಿ -> ಸರಸ್ವತಿ
ಮೀನ ಕೂರ್ಮ ಕ್ರೋಡ ನರಹರಿ |,ಮೀನ -> ಮೀನು; ಕೂರ್ಮ -> ಆಮೆ ವಿಷ್ಣುವಿನ ಒಂದು ಅವತಾರ; ಕ್ರೋಡ -> ಎದೆ ಹಂದಿ ಶನಿಗ್ರಹ ಸಮೀಪ
ಮಾಣವಕ ಭೃಗುರಾಮ ದಶರಥ |,ಮಾಣವಕ -> ಇಪ್ಪತ್ತು ಎಳೆಗಳ ಮುತ್ತಿನ ಹಾರ ನವನಿಧಿಗಳಲ್ಲಿ ಒಂದು; ದಶರಥ -> ಹತ್ತು ದಿಕ್ಕುಗಳಲ್ಲಿಯೂ ರಥವನ್ನು ನಡೆಸಬಲ್ಲವನು
ಪುರುಷ ಬ್ರಹ್ಮ ವಿರಿಂಚಿ ಮಹಾ |,ಪುರುಷ -> ಮನುಷ್ಯ ಗಂಡತ್ರಿಮೂರ್ತಿಗಳಲ್ಲಿ ಪ್ರತಿಯೊಬ್ಬ; ವಿರಿಂಚಿ -> ಬ್ರಹ್ಮ
ನ್ಮ ರುತ ಮುಖ್ಯ ಪ್ರಾಣ ಧೃತಿ ಸ್ಮೃತಿ,ರುತ -> ಶಬ್ದ; ಪ್ರಾಣ -> ಜೀವಿಯಲ್ಲಿನ ಚೈತನ್ಯ; ಧೃತಿ -> ಧೈರ್ಯ; ಸ್ಮೃತಿ -> ನೀತಿಸಂಹಿತೆ
ಈರೈ ದುಗುಣ ಕಡಿಮೆ ಪಾರ್ವತಿ |,ದುಗುಣ -> ದ್ವಿಗುಣ ಎರಡು ಪಟ್ಟು ಎರಡು ಸಲ; ಪಾರ್ವತಿ -> ಪರ್ವತರಾಜನ ಮಗಳು ಗಿರಿಜೆ
ಮೌಳಿ ನಾರದಗಧಮ ಮೂವರು |,ಮೌಳಿ -> ತುದಿ ತಲೆ; ನಾರದಗಧಮ -> ಒಬ್ಬ ದೇವರ್ಷಿ
ಯಮಿ ಮರೀಚಿಯು ಅತ್ರಿಯಂಗಿರ |,ಯಮಿ -> ತಪಸ್ವಿ; ಮರೀಚಿಯು -> ಕಿರಣ ಕಾಂತಿ
ಪೃಥು ಎನಿಸುವನು ಸೌಮ್ಯ ಮಾರುತ |,ಪೃಥು -> ವಿಶಾಲವಾದ ದೊಡ್ಡದಾದ; ಸೌಮ್ಯ -> ಶಾಂತಸ್ವಭಾವದವನು; ಮಾರುತ -> ಗಾಳಿ ವಾಯು ದೇವತೆ
ದೇವದತ್ತ ಧನಂಜಯರು ಅವತಾರನರ್ಜಿತರು ||,ದೇವದತ್ತ -> ಅರ್ಜುನನ ಶಂಖದ ಹೆಸರು; ಧನಂಜಯರು -> ಅಗ್ನಿ ಅರ್ಜುನ
"ವಿಶ್ವೆ ""ದೇವತೆಗಳ ನಾಮ, ಅವತಾರ ಹೇಳತಾರೆ.",ವಿಶ್ವೆ -> ಸಮಸ್ತ; ದೇವತೆಗಳ -> ಅತಿಮಾನುಷ ಜೀವಿ; ನಾಮ -> ಹೆಸರು
"ವಂತರು. ಧರ್ಮ-ಯುದಿಷ್ಮಿರ ಎನತಕ್ಕ ಧರ್ಮರಾಯ, ವೃಕೋದರ. ಭೀಮಸೇನ",ಧರ್ಮ -> ನಂಬಿಕೆ ಆಚರಣೆಗಳ ಕಟ್ಟಳೆ ಪುಣ್ಯ ಕರ್ತವ್ಯ ಯಮ ಯುಧಿಷ್ಠಿರ ದ್ವಾದಶಾನುಪ್ರೇಕ್ಷೆಗಳಲ್ಲಿ ಒಂದು ಧರ್ಮಚಿಂತನೆ ಧನುಸ್ಸು; ಧರ್ಮರಾಯ -> ನಂಬಿಕೆ ಆಚರಣೆಗಳ ಕಟ್ಟಳೆ ಪುಣ್ಯ ಕರ್ತವ್ಯ ಯಮ ಯುಧಿಷ್ಠಿರ ದ್ವಾದಶಾನುಪ್ರೇಕ್ಷೆಗಳಲ್ಲಿ ಒಂದು ಧರ್ಮಚಿಂತನೆ ಧನುಸ್ಸು; ವೃಕೋದರ -> ತೋಳದಂತೆ ಹೊಟ್ಟೆಯುಲ್ಳವನು ಭೀಮಸೇನ; ಭೀಮಸೇನ -> ಪಾಂಡುವಿನ ಮಗ ಭೀಮ
"ದಾರು ದಾರು ಎಂದರೆ,",ದಾರು -> ದಿಮ್ಮಿ
ದೇವ ಧರ್ಮನು ದಕ್ಷನಾಮಕ |,ದೇವ -> ದೇವತೆ ಲೋಕಾತೀತ ದೇವತೆ; ಧರ್ಮನು -> ನಂಬಿಕೆ ಆಚರಣೆಗಳ ಕಟ್ಟಳೆ ಪುಣ್ಯ ಕರ್ತವ್ಯ ಯಮ ಯುಧಿಷ್ಠಿರ ದ್ವಾದಶಾನುಪ್ರೇಕ್ಷೆಗಳಲ್ಲಿ ಒಂದು ಧರ್ಮಚಿಂತನೆ ಧನುಸ್ಸು
ತರಣಿ ಆ ಸಂಜ್ಞೆ ಶಾರ್ವರಿ |,ತರಣಿ -> ದೋಣಿ ಸೂರ್ಯ; ಶಾರ್ವರಿ -> ರಾತ್ರಿ ಅರವತ್ತು ಸಂವತ್ಸರಗಳಲ್ಲಿ ಒಂದು
"ನಾದವನು, ಮರುತಾನಿ ತ-ಮರುತನ ಆವೇಶದಿಂದ ಯುಕ್ತ ನು. ತುಂಬುರರ ವಿಚಾರ",ಮರುತಾನಿ -> ದೇವತೆ ಗಾಳಿ; ಮರುತನ -> ದೇವತೆ ಗಾಳಿ; ಯುಕ್ತ -> ಜೋಡಿಸಿದ ಸೂಕ್ತವಾದ; ತುಂಬುರರ -> ಪೂರ್ತಿಮಾಡು ಹಣ್ಣುಹೂಗಳ ನಾಳ ಕೆರೆಯ ತೂಬು
ವಾಯುಯುತ ಧೃತರಾಷ್ಟ್ರ ದಿವಿಜ |,ಧೃತರಾಷ್ಟ್ರ -> ರಾಷ್ಟ್ರದ ಭಾರವನ್ನು ಹೊತ್ತವನು ಕೌರವರ ತಂದೆ; ದಿವಿಜ -> ಸ್ವರ್ಗದಲ್ಲಿ ಜನಿಸಿದವನು ದೇವತೆ
ಗಾಯಕನು ಧೃತರಾಷ್ಟ್ರ ನಕ್ರನು।,ಗಾಯಕನು -> ಹಾಡುಗಾರ; ಧೃತರಾಷ್ಟ್ರ -> ರಾಷ್ಟ್ರದ ಭಾರವನ್ನು ಹೊತ್ತವನು ಕೌರವರ ತಂದೆ; ನಕ್ರನು -> ಮೊಸಳೆ
ಲಲನೆ ಪಾರ್ವತಿ ಎನಿಸುವಳು ಗೋ |,ಲಲನೆ -> ಹೆಂಗಸು; ಪಾರ್ವತಿ -> ಪರ್ವತರಾಜನ ಮಗಳು ಗಿರಿಜೆ
"ಕ್ರತು, ಸಿಂಧು-ಸಿಂಧು, ಶುಚಿ-ಶುಚಿ, ಸವಮಾನ ಪವಮಾನ, ಕೌಶಿಕರೈದು...ಕೌಶಿಕ,",ಕ್ರತು -> ಯಜ್ಞ ಗಜ್ಜುಗದ ಗಿಡ; ಸಿಂಧು -> ಸಮುದ್ರ ನದಿ; ಪವಮಾನ -> ಪವನ; ಕೌಶಿಕ -> ಕುಶಿಕ ವಂಶದವನು ವಿಶ್ವಾಮಿತ್ರ
ಕೊರೆತೆ ಎನಿಸುವ ಚಕ್ರ ವರ್ತಿಗಳಿಂದ ಗಂಧರ್ವ ॥,ಕೊರೆತೆ -> ಗೊರಕೆ ಹೊಡೆ; ಚಕ್ರ -> ಗಾಲಿ ಸುದರ್ಶನಚಕ್ರ ಭೂಮಿ ಒಂದು ವ್ಯೂಹ ಚಕ್ರವಾಕ; ಗಂಧರ್ವ -> ಒಂದು ದೇವಜಾತಿ ದೇವಲೋಕದ ಸಂಗೀತಗಾರ ಕುದುರೆ
ಸರಸಿಜೋದ್ಭವ ನಾಯು ವಾಣೀ |,ಸರಸಿಜೋದ್ಭವ -> ಸರಸಿಜಗರ್ಭ
ಗರುಡ ಷಣ್ಮಹಿಷಿಯರು ಪಾರ್ವತಿ ಶಕ್ರ ಸ್ಮರ ಪ್ರಾಣ ॥,ಗರುಡ -> ಒಂದು ಪಕ್ಷಿ ವಿಷ್ಣವಿನ ವಾಹನ; ಪಾರ್ವತಿ -> ಪರ್ವತರಾಜನ ಮಗಳು ಗಿರಿಜೆ; ಶಕ್ರ -> ಇಂದ್ರ; ಸ್ಮರ -> ನೆನಪು ಮನ್ಮಥ; ಪ್ರಾಣ -> ಜೀವಿಯಲ್ಲಿನ ಚೈತನ್ಯ
"ಆರುಮಂದಿ ಮಹಿಷಿಯರು, ಪಾರ್ವತಿ-ಪಾರ್ವತೀ, ಶಕ್ರ-ಇಂದ್ರದೇವರು, ಸ್ಮರ",ಮಹಿಷಿಯರು -> ಎಮ್ಮೆ ಮಹಾರಾಣಿ; ಪಾರ್ವತಿ -> ಪರ್ವತರಾಜನ ಮಗಳು ಗಿರಿಜೆ; ಪಾರ್ವತೀ -> ನೋಡಿ ನಿರೀಕ್ಷಿಸು ಯೋಚಿಸು; ಶಕ್ರ -> ಇಂದ್ರ; ಸ್ಮರ -> ನೆನಪು ಮನ್ಮಥ
"ಗಂಧರ್ವರು, ಮನುಷ್ಯ ಗಂಧರ್ವರು, ಮಾನುಷ ಚಕ್ರವರ್ತಿಗಳು-ಮಾನುಸ ಚಕ್ರವರ್ತಿ",ಗಂಧರ್ವರು -> ಒಂದು ದೇವಜಾತಿ ದೇವಲೋಕದ ಸಂಗೀತಗಾರ ಕುದುರೆ; ಚಕ್ರವರ್ತಿಗಳು -> ಸಾರ್ವಭೌಮ ವಿಷ್ಣು; ಮಾನುಸ -> ಮಾನವ; ಚಕ್ರವರ್ತಿ -> ಸಾರ್ವಭೌಮ ವಿಷ್ಣು
"ಈತನ ಸೇವಿಸದೆ ಈ ದೇವರನ್ನ ಸೇವೆ ಮಾಡದೆ, ಸೌಖ್ಯಗಳ ಬಯಸುವರು-ಆ ದೇವತೆ",ದೇವರನ್ನ -> ಮೈದುನ; ಸೇವೆ -> ಊಳಿಗ ಶುಶ್ರೂಷೆ; ಸೌಖ್ಯಗಳ -> ಸುಖ; ಬಯಸುವರು -> ಇಚ್ಛೆಪಡು; ದೇವತೆ -> ಅತಿಮಾನುಷ ಜೀವಿ
ಚಂಡವಿಕ್ರಮ ಚಕ್ರೆ ಶಂಖನ |,ಚಂಡವಿಕ್ರಮ -> ಭಯ ಹುಟ್ಟಿಸುವ ಪರಾಕ್ರಮವುಳ್ಳವನು; ಚಕ್ರೆ -> ಗಾಲಿ ಸುದರ್ಶನಚಕ್ರ ಭೂಮಿ ಒಂದು ವ್ಯೂಹ ಚಕ್ರವಾಕ
ಕರಿಸಿ ಕುರುಪತಿಯ ಭೋಜನ |,ಕುರುಪತಿಯ -> ದುರ್ಯೋಧನ; ಭೋಜನ -> ಊಟ ಆಹಾರ
"ಇದವ, ಕುರುಪತಿಯ ಭೋಜನ-_ದುರ್ಯೋದಧನ, ಕೃಷ್ಣ ದೇವರಿಗೆ ಔತಣಮಾಡೋ",ಕುರುಪತಿಯ -> ದುರ್ಯೋಧನ; ಭೋಜನ -> ಊಟ ಆಹಾರ; ಕೃಷ್ಣ -> ಕಪ್ಪಾದ ಕಪ್ಪು ಬಣ್ಣ ಕೆಟ್ಟ ವಿಷ್ಣುವಿನ ಎಂಟನೆಯ ಅವತಾರ; ದೇವರಿಗೆ -> ಮೈದುನ
ಪುತ್ರಿ ಚಿ ತೆಂದಾಳೆ ತ್ರಿಜಗ |,ಪುತ್ರಿ -> ಮಗ; ತ್ರಿಜಗ -> ಸ್ವರ್ಗ ಮರ್ತ್ಯ ಪಾತಾಳಗಳು
ಇನ್ನೂ ಪರಮಾತ್ಮನ ನ ಮಹಿಮೆ ಹೇಳತಾರ,ಪರಮಾತ್ಮನ -> ಶ್ರೇಷ್ಠ ಚೈತನ್ಯ ದೇವರು ಜಿನ ಕೇವಲಜ್ಞಾನಿ; ಮಹಿಮೆ -> ಪೂಜೆ
"ಸ್ಥಿತಿ, ಮ ನಿಯಮನ, ಜ್ಞಾನ, ಅಜ್ಞಾನ, ಬಂಧ, ಮೋಕ್ಷ ಪ ಪ್ರದಾತೃ ವಾದ",ನಿಯಮನ -> ನಿಗ್ರಹ ಕಟ್ಟಳೆ ಕ್ರಮಬದ್ಧ ಆಚರಣೆ; ಜ್ಞಾನ -> ಅರಿವು ಆತ್ಮಜ್ಞಾನ ಕುಮತಿ ಕುಶ್ರುತ ವಿಭಂಗ ಮತಿ ಶ್ರುತ ಅವಧಿ ಮನಃಪರ್ಯಯ ಎಂದು ಎಂಟು ಬಗೆ ಮತಿ ಶ್ರುತ ಅವಧಿ ಮನಃಪರ್ಯಯ ಕೇವಲ ಎಂಬ ಜ್ಞಾನಗಳು; ಅಜ್ಞಾನ -> ಜ್ಞಾನರಾಹಿತ್ಯ; ಮೋಕ್ಷ -> ಬಿಡುಗಡೆ ಮುಕ್ತಿ ಸಪ್ತತತ್ವಗಳಲ್ಲಿ ಒಂದು ಎಲ್ಲದರಿಂದ ಬಿಡುಗಡೆ ಹೊಂದಿ ಆತ್ಮ ಪರಿಶುದ್ಧಗೊಳ್ಳುವುದು
"ಇಲ್ಫು, ಅಂತು ನಾಲ್ಕು ಸಾರಿ ಅಜ್ಞಾನ.",ಅಂತು -> ಹಾಗೆ ಅಲ್ಲದೆ ಕೊನೆ; ಸಾರಿ -> ಅಂಬಾರಿ ಪಗಡೆ ಕಾಯಿ; ಅಜ್ಞಾನ -> ಜ್ಞಾನರಾಹಿತ್ಯ
"ಜೀವರ ದ್ವಾರಾ ಜ್‌ ಭೋಜನಮಾಡಿಸಿ, ತೃಪ್ತಿ ಪಡಿಸುವ ಜೀವನ ಸ್ಥೂಲ",ದ್ವಾರಾ -> ಬಾಗಿಲು; ತೃಪ್ತಿ -> ತೃಪ್ತಿಹೊಂದಿದ; ಪಡಿಸುವ -> ಮಲಗಿಸು; ಜೀವನ -> ಬದುಕು ನೀರು
ವನಧಿ ನಿರ್ಮಿಸೆ ತಮ್ಮ ತಮ್ಮಯ,ವನಧಿ -> ಸಮುದ್ರ; ತಮ್ಮ -> ಕಿರಿಯ ಸಹೋದರ ಸ್ವಂತದ; ತಮ್ಮಯ -> ಕಿರಿಯ ಸಹೋದರ ಸ್ವಂತದ
ಸುಟ್ಟು ಕೊಟ್ಟುದ ಮುಟ್ಟ ಲಘು ಹಿ |,ಸುಟ್ಟು -> ಸುಟ್ಟಿತೋ(ದೋ)ಱು; ಕೊಟ್ಟುದ -> ನವಿಲು ಕೋಳಿಗಳ ತಲೆಯ ಮೇಲಿನ ತುರಾಯಿ ಚೂಚುಕ
